DOUBLES (AABC) — HIT LOG (DATE SORTED) — QUALIFIED FAMILIES ONLY
Each row is one AABC hit in a stream. Member is boxkey4 (sorted digits). fixed_rank is 1–78 family stream rank.
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday) | Qualified families: 56
--------------------------------------------------------------------------------------------------------------------------------------------
DATE       FAM MEM  STREAM                                   FIX 60H 60/WK  90H 90/WK  180H 180/WK 
2023-10-18 078 0778 Massachusetts - Numbers Game Midday       NA 018   2.10 024   1.87  038    1.48
2023-10-18 146 1446 Connecticut - Play 4 Night                35 018   2.10 025   1.94  055    2.14
2023-10-18 258 2588 South Carolina - Pick 4 Evening           10 020   2.33 032   2.49  052    2.02
2023-10-18 278 2778 Oregon - Pick 4 1pm                       29 028   3.27 037   2.88  057    2.22
2023-10-18 278 2778 Tennessee - Cash 4 Evening                03 028   3.27 037   2.88  057    2.22
2023-10-18 357 3357 Oregon - Pick 4 7pm                       13 020   2.33 030   2.33  059    2.29
2023-10-18 378 3378 Illinois - Pick 4 Midday                  43 020   2.33 027   2.10  060    2.33
2023-10-18 579 5799 Florida - Pick 4 Midday                   40 018   2.10 026   2.02  039    1.52
2023-10-19 017 0017 Oregon - Pick 4 7pm                       NA 018   2.10 027   2.10  046    1.79
2023-10-19 024 0224 Texas - Daily 4 Day                       NA 015   1.75 024   1.87  052    2.02
2023-10-19 029 0029 Virginia - Pick 4 Day                     NA 019   2.22 030   2.33  053    2.06
2023-10-19 046 0466 Puerto Rico - Pega 4 Día                  NA 018   2.10 023   1.79  048    1.87
2023-10-19 129 1299 Florida - Pick 4 Evening                  21 025   2.92 029   2.26  045    1.75
2023-10-19 149 1499 Iowa - Pick 4 Midday                      70 018   2.10 025   1.94  043    1.67
2023-10-19 169 1669 Texas - Daily 4 Night                     34 018   2.10 031   2.41  056    2.18
2023-10-19 239 2399 Louisiana - Pick 4                        29 014   1.63 023   1.79  052    2.02
2023-10-19 348 3488 Ontario - Pick 4 Evening                  23 015   1.75 026   2.02  038    1.48
2023-10-19 567 5667 Georgia - Cash 4 Evening                  24 019   2.22 028   2.18  043    1.67
2023-10-19 567 5677 Wisconsin - Pick 4 Evening                20 019   2.22 028   2.18  043    1.67
2023-10-19 579 5799 Florida - Pick 4 Midday                   40 018   2.10 026   2.02  039    1.52
2023-10-19 689 6899 Michigan - Daily 4 Midday                 38 024   2.80 034   2.64  055    2.14
2023-10-20 012 0012 North Carolina - Pick 4 Daytime           NA 023   2.68 030   2.33  049    1.91
2023-10-20 023 0023 Louisiana - Pick 4                        NA 013   1.52 023   1.79  052    2.02
2023-10-20 027 0027 Tennessee - Cash 4 Evening                NA 020   2.33 029   2.26  051    1.98
2023-10-20 029 0229 Connecticut - Play 4 Night                NA 019   2.22 030   2.33  053    2.06
2023-10-20 056 0566 Michigan - Daily 4 Evening                NA 016   1.87 024   1.87  052    2.02
2023-10-20 068 0688 Florida - Pick 4 Midday                   NA 023   2.68 037   2.88  057    2.22
2023-10-20 068 0688 Rhode Island - Numbers Game Evening       NA 023   2.68 037   2.88  057    2.22
2023-10-20 236 2366 Wisconsin - Pick 4 Evening                11 018   2.10 029   2.26  047    1.83
2023-10-20 239 2339 Idaho - Pick 4 Night                      24 014   1.63 023   1.79  052    2.02
2023-10-20 348 3488 Massachusetts - Numbers Game Midday       10 015   1.75 026   2.02  038    1.48
2023-10-20 378 3788 Texas - Daily 4 Morning                   50 020   2.33 027   2.10  060    2.33
2023-10-20 456 4566 Connecticut - Play 4 Day                  30 022   2.57 030   2.33  052    2.02
2023-10-20 459 4459 Pennsylvania - Pick 4 Evening             57 017   1.98 024   1.87  056    2.18
2023-10-20 567 5567 Oregon - Pick 4 1pm                       51 019   2.22 028   2.18  043    1.67
2023-10-21 017 0117 North Carolina - Pick 4 Daytime           NA 018   2.10 027   2.10  046    1.79
2023-10-21 018 0118 Oregon - Pick 4 1pm                       NA 023   2.68 034   2.64  061    2.37
2023-10-21 025 0255 Arkansas - Cash 4 Evening                 NA 019   2.22 025   1.94  049    1.91
2023-10-21 059 0559 Georgia - Cash 4 Evening                  NA 019   2.22 031   2.41  047    1.83
2023-10-21 068 0688 Washington, D.C. - DC-4 1:50pm            NA 023   2.68 037   2.88  057    2.22
2023-10-21 168 1668 Tennessee - Cash 4 Midday                 43 018   2.10 024   1.87  042    1.63
2023-10-21 245 2445 New York - Win 4 Midday                   05 013   1.52 031   2.41  052    2.02
2023-10-21 456 4566 Puerto Rico - Pega 4 Día                  52 022   2.57 030   2.33  052    2.02
2023-10-22 013 0113 Massachusetts - Numbers Game Evening      NA 019   2.22 026   2.02  050    1.94
2023-10-22 019 0199 Connecticut - Play 4 Day                  NA 018   2.10 023   1.79  054    2.10
2023-10-22 025 0225 Connecticut - Play 4 Night                NA 019   2.22 025   1.94  049    1.91
2023-10-22 029 0299 Tri-State (ME, NH & VT) - Pick 4 Evening  NA 019   2.22 030   2.33  053    2.06
2023-10-22 056 0056 Rhode Island - Numbers Game Midday        NA 016   1.87 024   1.87  052    2.02
2023-10-22 068 0688 Virginia - Pick 4 Day                     NA 023   2.68 037   2.88  057    2.22
2023-10-22 249 2499 Pennsylvania - Pick 4 Day                 28 021   2.45 033   2.57  060    2.33
2023-10-22 278 2778 Michigan - Daily 4 Midday                 18 028   3.27 037   2.88  057    2.22
2023-10-22 279 2799 Arkansas - Cash 4 Evening                 04 020   2.33 025   1.94  043    1.67
2023-10-22 379 3779 Iowa - Pick 4 Evening                     07 019   2.22 031   2.41  053    2.06
2023-10-22 389 3389 New Jersey - Pick 4 Evening               11 019   2.22 031   2.41  057    2.22
2023-10-22 579 5779 New York - Win 4 Midday                   16 018   2.10 026   2.02  039    1.52
2023-10-23 038 0038 New Jersey - Pick 4 Evening               NA 021   2.45 030   2.33  058    2.26
2023-10-23 078 0078 Atlantic Canada - Lotto 4                 NA 018   2.10 024   1.87  038    1.48
2023-10-23 135 1355 New Mexico - Pick 4 Day                   42 023   2.68 030   2.33  051    1.98
2023-10-23 168 1168 New Jersey - Pick 4 Midday                34 018   2.10 024   1.87  042    1.63
2023-10-23 258 2558 Indiana - Daily 4 Midday                  45 020   2.33 032   2.49  052    2.02
2023-10-23 258 2588 North Carolina - Pick 4 Daytime           57 020   2.33 032   2.49  052    2.02
2023-10-23 345 3455 Delaware - Play 4 Day                     01 019   2.22 028   2.18  051    1.98
2023-10-23 357 3357 Texas - Daily 4 Evening                   01 020   2.33 030   2.33  059    2.29
2023-10-23 567 5667 Texas - Daily 4 Day                       02 019   2.22 028   2.18  043    1.67
2023-10-23 689 6899 Iowa - Pick 4 Evening                     71 024   2.80 034   2.64  055    2.14
2023-10-24 016 0116 Arkansas - Cash 4 Midday                  NA 025   2.92 031   2.41  055    2.14
2023-10-24 023 0023 Michigan - Daily 4 Midday                 NA 013   1.52 023   1.79  052    2.02
2023-10-24 025 0225 Missouri - Pick 4 Evening                 NA 019   2.22 025   1.94  049    1.91
2023-10-24 027 0027 Washington, D.C. - DC-4 1:50pm            NA 020   2.33 029   2.26  051    1.98
2023-10-24 029 0229 Louisiana - Pick 4                        NA 019   2.22 030   2.33  053    2.06
2023-10-24 167 1677 Michigan - Daily 4 Evening                40 020   2.33 029   2.26  053    2.06
2023-10-24 579 5799 Ontario - Pick 4 Midday                   07 018   2.10 026   2.02  039    1.52
2023-10-25 012 0122 Texas - Daily 4 Night                     NA 023   2.68 030   2.33  049    1.91
2023-10-25 028 0028 Oregon - Pick 4 7pm                       NA 017   1.98 033   2.57  054    2.10
2023-10-25 046 0046 Delaware - Play 4 Day                     NA 018   2.10 023   1.79  048    1.87
2023-10-25 067 0067 Washington, D.C. - DC-4 7:50pm            NA 019   2.22 027   2.10  050    1.94
2023-10-25 167 1677 Tennessee - Cash 4 Morning                21 020   2.33 029   2.26  053    2.06
2023-10-25 168 1168 North Carolina - Pick 4 Evening           10 018   2.10 024   1.87  042    1.63
2023-10-25 238 2388 Louisiana - Pick 4                        58 019   2.22 030   2.33  047    1.83
2023-10-25 258 2558 Rhode Island - Numbers Game Evening       63 020   2.33 032   2.49  052    2.02
2023-10-25 278 2278 Indiana - Daily 4 Evening                 15 028   3.27 037   2.88  057    2.22
2023-10-25 279 2279 Wisconsin - Pick 4 Midday                 58 020   2.33 025   1.94  043    1.67
2023-10-25 459 4599 Québec - Quotidienne 4                    27 017   1.98 024   1.87  056    2.18
2023-10-25 689 6899 Wisconsin - Pick 4 Evening                43 024   2.80 034   2.64  055    2.14
2023-10-26 016 0116 Rhode Island - Numbers Game Evening       NA 025   2.92 031   2.41  055    2.14
2023-10-26 016 0166 Tennessee - Cash 4 Midday                 NA 025   2.92 031   2.41  055    2.14
2023-10-26 129 1299 Wisconsin - Pick 4 Midday                 60 025   2.92 029   2.26  045    1.75
2023-10-26 167 1167 Washington, D.C. - DC-4 11:30pm           61 020   2.33 029   2.26  053    2.06
2023-10-26 236 2236 California - Daily 4                      34 018   2.10 029   2.26  047    1.83
2023-10-26 236 2366 Indiana - Daily 4 Midday                  49 018   2.10 029   2.26  047    1.83
2023-10-26 246 2466 Texas - Daily 4 Night                     11 021   2.45 027   2.10  050    1.94
2023-10-26 258 2258 Georgia - Cash 4 Night                    49 020   2.33 032   2.49  052    2.02
2023-10-26 258 2258 Missouri - Pick 4 Midday                  77 020   2.33 032   2.49  052    2.02
2023-10-26 279 2279 Delaware - Play 4 Night                   39 020   2.33 025   1.94  043    1.67
2023-10-26 348 3488 Massachusetts - Numbers Game Evening      18 015   1.75 026   2.02  038    1.48
2023-10-26 378 3778 Texas - Daily 4 Day                       33 020   2.33 027   2.10  060    2.33
2023-10-26 456 4556 Virginia - Pick 4 Day                     19 022   2.57 030   2.33  052    2.02
2023-10-26 489 4899 Mississippi - Cash 4 Evening              55 019   2.22 029   2.26  054    2.10
2023-10-26 489 4889 Ontario - Pick 4 Midday                   69 019   2.22 029   2.26  054    2.10
2023-10-27 018 0188 Rhode Island - Numbers Game Midday        NA 023   2.68 034   2.64  061    2.37
2023-10-27 078 0078 Massachusetts - Numbers Game Evening      NA 018   2.10 024   1.87  038    1.48
2023-10-27 146 1446 Georgia - Cash 4 Evening                  74 018   2.10 025   1.94  055    2.14
2023-10-27 167 1667 Texas - Daily 4 Day                       07 020   2.33 029   2.26  053    2.06
2023-10-27 169 1699 Connecticut - Play 4 Day                  48 018   2.10 031   2.41  056    2.18
2023-10-27 246 2446 Iowa - Pick 4 Midday                      28 021   2.45 027   2.10  050    1.94
2023-10-27 257 2557 Washington, D.C. - DC-4 11:30pm           02 012   1.40 021   1.63  052    2.02
2023-10-27 278 2278 Mississippi - Cash 4 Midday               35 028   3.27 037   2.88  057    2.22
2023-10-27 279 2279 Indiana - Daily 4 Evening                 09 020   2.33 025   1.94  043    1.67
2023-10-27 345 3445 Pennsylvania - Pick 4 Evening             25 019   2.22 028   2.18  051    1.98
2023-10-27 348 3448 Oregon - Pick 4 4pm                       23 015   1.75 026   2.02  038    1.48
2023-10-27 357 3577 Michigan - Daily 4 Evening                08 020   2.33 030   2.33  059    2.29
2023-10-27 378 3378 North Carolina - Pick 4 Evening           11 020   2.33 027   2.10  060    2.33
2023-10-27 378 3378 Tennessee - Cash 4 Midday                 51 020   2.33 027   2.10  060    2.33
2023-10-27 456 4456 Ontario - Pick 4 Midday                   51 022   2.57 030   2.33  052    2.02
2023-10-27 567 5567 Atlantic Canada - Lotto 4                 13 019   2.22 028   2.18  043    1.67
2023-10-27 579 5579 Ontario - Pick 4 Evening                  05 018   2.10 026   2.02  039    1.52
2023-10-27 589 5889 New York - Win 4 Midday                   46 014   1.63 026   2.02  054    2.10
2023-10-27 689 6689 Georgia - Cash 4 Midday                   29 024   2.80 034   2.64  055    2.14
2023-10-28 017 0117 South Carolina - Pick 4 Midday            NA 018   2.10 027   2.10  046    1.79
2023-10-28 048 0048 Missouri - Pick 4 Evening                 NA 021   2.45 031   2.41  059    2.29
2023-10-28 056 0056 Texas - Daily 4 Evening                   NA 016   1.87 024   1.87  052    2.02
2023-10-28 059 0559 South Carolina - Pick 4 Evening           NA 019   2.22 031   2.41  047    1.83
2023-10-28 129 1299 Mississippi - Cash 4 Evening              48 025   2.92 029   2.26  045    1.75
2023-10-28 146 1466 Ontario - Pick 4 Midday                   53 018   2.10 025   1.94  055    2.14
2023-10-28 167 1167 Connecticut - Play 4 Day                  13 020   2.33 029   2.26  053    2.06
2023-10-28 168 1668 Indiana - Daily 4 Midday                  66 018   2.10 024   1.87  042    1.63
2023-10-28 168 1668 Michigan - Daily 4 Evening                23 018   2.10 024   1.87  042    1.63
2023-10-28 348 3488 New York - Win 4 Evening                  46 015   1.75 026   2.02  038    1.48
2023-10-28 357 3577 Massachusetts - Numbers Game Midday       29 020   2.33 030   2.33  059    2.29
2023-10-28 359 3359 Pennsylvania - Pick 4 Evening             07 027   3.15 036   2.80  059    2.29
2023-10-28 579 5779 Western Canada - Pick 4                   21 018   2.10 026   2.02  039    1.52
2023-10-29 013 0133 Ontario - Pick 4 Evening                  NA 019   2.22 026   2.02  050    1.94
2023-10-29 029 0299 South Carolina - Pick 4 Evening           NA 019   2.22 030   2.33  053    2.06
2023-10-29 048 0488 New Mexico - Pick 4 Day                   NA 021   2.45 031   2.41  059    2.29
2023-10-29 168 1168 Connecticut - Play 4 Day                  47 018   2.10 024   1.87  042    1.63
2023-10-29 168 1168 Illinois - Pick 4 Midday                  20 018   2.10 024   1.87  042    1.63
2023-10-29 249 2249 Connecticut - Play 4 Night                01 021   2.45 033   2.57  060    2.33
2023-10-29 258 2558 Iowa - Pick 4 Midday                      46 020   2.33 032   2.49  052    2.02
2023-10-29 359 3559 Wisconsin - Pick 4 Midday                 31 027   3.15 036   2.80  059    2.29
2023-10-29 456 4566 Georgia - Cash 4 Midday                   26 022   2.57 030   2.33  052    2.02
2023-10-29 679 6779 Kentucky - Pick 4 Evening                 04 017   1.98 031   2.41  046    1.79
2023-10-30 016 0016 Tri-State (ME, NH & VT) - Pick 4 Evening  NA 025   2.92 031   2.41  055    2.14
2023-10-30 023 0233 Indiana - Daily 4 Evening                 NA 013   1.52 023   1.79  052    2.02
2023-10-30 027 0227 Puerto Rico - Pega 4 Noche                NA 020   2.33 029   2.26  051    1.98
2023-10-30 078 0078 Oregon - Pick 4 7pm                       NA 018   2.10 024   1.87  038    1.48
2023-10-30 168 1668 Idaho - Pick 4 Day                        18 018   2.10 024   1.87  042    1.63
2023-10-30 238 2388 Arkansas - Cash 4 Evening                 07 019   2.22 030   2.33  047    1.83
2023-10-30 245 2445 Ohio - Pick 4 Midday                      49 013   1.52 031   2.41  052    2.02
2023-10-30 245 2455 Virginia - Pick 4 Day                     31 013   1.52 031   2.41  052    2.02
2023-10-30 246 2246 Delaware - Play 4 Day                     03 021   2.45 027   2.10  050    1.94
2023-10-30 249 2449 Oregon - Pick 4 10pm                      32 021   2.45 033   2.57  060    2.33
2023-10-30 258 2588 New Mexico - Pick 4 Day                   44 020   2.33 032   2.49  052    2.02
2023-10-30 348 3348 Texas - Daily 4 Night                     41 015   1.75 026   2.02  038    1.48
2023-10-30 379 3779 Oregon - Pick 4 4pm                       22 019   2.22 031   2.41  053    2.06
2023-10-30 489 4899 Massachusetts - Numbers Game Midday       34 019   2.22 029   2.26  054    2.10
2023-10-31 017 0017 Western Canada - Pick 4                   NA 018   2.10 027   2.10  046    1.79
2023-10-31 019 0119 Missouri - Pick 4 Midday                  NA 018   2.10 023   1.79  054    2.10
2023-10-31 023 0023 Tri-State (ME, NH & VT) - Pick 4 Day      NA 013   1.52 023   1.79  052    2.02
2023-10-31 024 0244 South Carolina - Pick 4 Midday            NA 015   1.75 024   1.87  052    2.02
2023-10-31 027 0277 Oregon - Pick 4 10pm                      NA 020   2.33 029   2.26  051    1.98
2023-10-31 027 0227 Oregon - Pick 4 1pm                       NA 020   2.33 029   2.26  051    1.98
2023-10-31 046 0046 New Mexico - Pick 4 Evening               NA 018   2.10 023   1.79  048    1.87
2023-10-31 146 1146 Iowa - Pick 4 Evening                     53 018   2.10 025   1.94  055    2.14
2023-10-31 168 1688 Mississippi - Cash 4 Evening              34 018   2.10 024   1.87  042    1.63
2023-10-31 236 2236 Québec - Quotidienne 4                    21 018   2.10 029   2.26  047    1.83
2023-10-31 459 4559 Florida - Pick 4 Midday                   17 017   1.98 024   1.87  056    2.18
2023-10-31 567 5667 Missouri - Pick 4 Evening                 39 019   2.22 028   2.18  043    1.67
2023-11-01 016 0166 Illinois - Pick 4 Evening                 NA 025   2.92 031   2.41  055    2.14
2023-11-01 029 0299 Massachusetts - Numbers Game Evening      NA 019   2.22 030   2.33  053    2.06
2023-11-01 038 0338 Québec - Quotidienne 4                    NA 021   2.45 030   2.33  058    2.26
2023-11-01 078 0078 Ontario - Pick 4 Midday                   NA 018   2.10 024   1.87  038    1.48
2023-11-01 168 1168 Michigan - Daily 4 Evening                23 018   2.10 024   1.87  042    1.63
2023-11-01 236 2236 Tennessee - Cash 4 Morning                24 018   2.10 029   2.26  047    1.83
2023-11-01 246 2246 Louisiana - Pick 4                        12 021   2.45 027   2.10  050    1.94
2023-11-01 246 2466 Mississippi - Cash 4 Evening              53 021   2.45 027   2.10  050    1.94
2023-11-01 246 2446 Tennessee - Cash 4 Evening                33 021   2.45 027   2.10  050    1.94
2023-11-01 249 2499 Iowa - Pick 4 Midday                      76 021   2.45 033   2.57  060    2.33
2023-11-01 249 2249 Missouri - Pick 4 Midday                  57 021   2.45 033   2.57  060    2.33
2023-11-01 258 2588 Tri-State (ME, NH & VT) - Pick 4 Day      52 020   2.33 032   2.49  052    2.02
2023-11-01 456 4566 Pennsylvania - Pick 4 Evening             50 022   2.57 030   2.33  052    2.02
2023-11-01 489 4889 New York - Win 4 Evening                  71 019   2.22 029   2.26  054    2.10
2023-11-01 579 5799 Ohio - Pick 4 Evening                     44 018   2.10 026   2.02  039    1.52
2023-11-01 589 5889 Oregon - Pick 4 1pm                       04 014   1.63 026   2.02  054    2.10
2023-11-02 016 0116 Illinois - Pick 4 Evening                 NA 025   2.92 031   2.41  055    2.14
2023-11-02 017 0017 Delaware - Play 4 Night                   NA 018   2.10 027   2.10  046    1.79
2023-11-02 018 0188 Wisconsin - Pick 4 Evening                NA 023   2.68 034   2.64  061    2.37
2023-11-02 024 0024 Texas - Daily 4 Night                     NA 015   1.75 024   1.87  052    2.02
2023-11-02 025 0025 Puerto Rico - Pega 4 Noche                NA 019   2.22 025   1.94  049    1.91
2023-11-02 048 0048 Illinois - Pick 4 Midday                  NA 021   2.45 031   2.41  059    2.29
2023-11-02 048 0448 Massachusetts - Numbers Game Evening      NA 021   2.45 031   2.41  059    2.29
2023-11-02 059 0059 Tri-State (ME, NH & VT) - Pick 4 Evening  NA 019   2.22 031   2.41  047    1.83
2023-11-02 067 0677 Tennessee - Cash 4 Evening                NA 019   2.22 027   2.10  050    1.94
2023-11-02 068 0668 New Mexico - Pick 4 Evening               NA 023   2.68 037   2.88  057    2.22
2023-11-02 129 1299 Tennessee - Cash 4 Midday                 24 025   2.92 029   2.26  045    1.75
2023-11-02 149 1449 Ontario - Pick 4 Evening                  09 018   2.10 025   1.94  043    1.67
2023-11-02 167 1677 New York - Win 4 Evening                  19 020   2.33 029   2.26  053    2.06
2023-11-02 168 1668 Pennsylvania - Pick 4 Evening             12 018   2.10 024   1.87  042    1.63
2023-11-02 179 1779 Massachusetts - Numbers Game Midday       11 016   1.87 025   1.94  053    2.06
2023-11-02 245 2445 Texas - Daily 4 Evening                   02 013   1.52 031   2.41  052    2.02
2023-11-02 359 3599 Washington, D.C. - DC-4 7:50pm            63 027   3.15 036   2.80  059    2.29
2023-11-03 012 0012 Kentucky - Pick 4 Evening                 NA 023   2.68 030   2.33  049    1.91
2023-11-03 012 0012 Michigan - Daily 4 Midday                 NA 023   2.68 030   2.33  049    1.91
2023-11-03 019 0119 Rhode Island - Numbers Game Evening       NA 018   2.10 023   1.79  054    2.10
2023-11-03 078 0078 California - Daily 4                      NA 018   2.10 024   1.87  038    1.48
2023-11-03 078 0778 Florida - Pick 4 Evening                  NA 018   2.10 024   1.87  038    1.48
2023-11-03 078 0078 New York - Win 4 Midday                   NA 018   2.10 024   1.87  038    1.48
2023-11-03 135 1335 Virginia - Pick 4 Night                   38 023   2.68 030   2.33  051    1.98
2023-11-03 169 1169 Michigan - Daily 4 Evening                42 018   2.10 031   2.41  056    2.18
2023-11-03 169 1699 Ontario - Pick 4 Midday                   18 018   2.10 031   2.41  056    2.18
2023-11-03 348 3488 Washington, D.C. - DC-4 11:30pm           08 015   1.75 026   2.02  038    1.48
2023-11-03 459 4459 Idaho - Pick 4 Night                      26 017   1.98 024   1.87  056    2.18
2023-11-03 459 4599 West Virginia - Daily 4                   22 017   1.98 024   1.87  056    2.18
2023-11-03 489 4489 Iowa - Pick 4 Midday                      07 019   2.22 029   2.26  054    2.10
2023-11-03 567 5667 Georgia - Cash 4 Midday                   51 019   2.22 028   2.18  043    1.67
2023-11-03 567 5677 North Carolina - Pick 4 Daytime           57 019   2.22 028   2.18  043    1.67
2023-11-04 012 0012 Kentucky - Pick 4 Midday                  NA 023   2.68 030   2.33  049    1.91
2023-11-04 016 0016 Oregon - Pick 4 7pm                       NA 025   2.92 031   2.41  055    2.14
2023-11-04 059 0559 Oregon - Pick 4 4pm                       NA 019   2.22 031   2.41  047    1.83
2023-11-04 067 0067 Mississippi - Cash 4 Evening              NA 019   2.22 027   2.10  050    1.94
2023-11-04 168 1168 Ohio - Pick 4 Evening                     65 018   2.10 024   1.87  042    1.63
2023-11-04 169 1169 Texas - Daily 4 Evening                   19 018   2.10 031   2.41  056    2.18
2023-11-04 348 3348 Indiana - Daily 4 Evening                 10 015   1.75 026   2.02  038    1.48
2023-11-04 359 3599 New Jersey - Pick 4 Evening               09 027   3.15 036   2.80  059    2.29
2023-11-04 389 3389 Pennsylvania - Pick 4 Evening             62 019   2.22 031   2.41  057    2.22
2023-11-04 459 4459 Massachusetts - Numbers Game Midday       71 017   1.98 024   1.87  056    2.18
2023-11-04 589 5889 Puerto Rico - Pega 4 Noche                28 014   1.63 026   2.02  054    2.10
2023-11-05 023 0023 Virginia - Pick 4 Night                   NA 013   1.52 023   1.79  052    2.02
2023-11-05 025 0225 Mississippi - Cash 4 Evening              NA 019   2.22 025   1.94  049    1.91
2023-11-05 048 0488 Idaho - Pick 4 Night                      NA 021   2.45 031   2.41  059    2.29
2023-11-05 056 0566 Florida - Pick 4 Midday                   NA 016   1.87 024   1.87  052    2.02
2023-11-05 129 1129 Illinois - Pick 4 Midday                  63 025   2.92 029   2.26  045    1.75
2023-11-05 146 1446 New York - Win 4 Evening                  39 018   2.10 025   1.94  055    2.14
2023-11-05 149 1149 Atlantic Canada - Lotto 4                 43 018   2.10 025   1.94  043    1.67
2023-11-05 167 1167 Tri-State (ME, NH & VT) - Pick 4 Evening  54 020   2.33 029   2.26  053    2.06
2023-11-05 238 2338 Illinois - Pick 4 Evening                 14 019   2.22 030   2.33  047    1.83
2023-11-05 378 3788 California - Daily 4                      24 020   2.33 027   2.10  060    2.33
2023-11-05 389 3389 Rhode Island - Numbers Game Midday        19 019   2.22 031   2.41  057    2.22
2023-11-05 389 3389 Virginia - Pick 4 Day                     07 019   2.22 031   2.41  057    2.22
2023-11-05 456 4456 Oregon - Pick 4 4pm                       02 022   2.57 030   2.33  052    2.02
2023-11-05 457 4457 Wisconsin - Pick 4 Evening                42 024   2.80 035   2.72  054    2.10
2023-11-06 012 0112 Indiana - Daily 4 Evening                 NA 023   2.68 030   2.33  049    1.91
2023-11-06 016 0116 Rhode Island - Numbers Game Midday        NA 025   2.92 031   2.41  055    2.14
2023-11-06 023 0223 Illinois - Pick 4 Midday                  NA 013   1.52 023   1.79  052    2.02
2023-11-06 024 0224 Idaho - Pick 4 Day                        NA 015   1.75 024   1.87  052    2.02
2023-11-06 025 0225 West Virginia - Daily 4                   NA 019   2.22 025   1.94  049    1.91
2023-11-06 048 0048 Tri-State (ME, NH & VT) - Pick 4 Day      NA 021   2.45 031   2.41  059    2.29
2023-11-06 056 0556 North Carolina - Pick 4 Evening           NA 016   1.87 024   1.87  052    2.02
2023-11-06 067 0067 Iowa - Pick 4 Evening                     NA 019   2.22 027   2.10  050    1.94
2023-11-06 068 0688 Wisconsin - Pick 4 Midday                 NA 023   2.68 037   2.88  057    2.22
2023-11-06 078 0788 New Jersey - Pick 4 Midday                NA 018   2.10 024   1.87  038    1.48
2023-11-06 245 2445 Florida - Pick 4 Midday                   38 013   1.52 031   2.41  052    2.02
2023-11-06 245 2245 Puerto Rico - Pega 4 Día                  32 013   1.52 031   2.41  052    2.02
2023-11-06 357 3557 Arkansas - Cash 4 Midday                  78 020   2.33 030   2.33  059    2.29
2023-11-06 378 3778 Atlantic Canada - Lotto 4                 43 020   2.33 027   2.10  060    2.33
2023-11-06 389 3889 Mississippi - Cash 4 Midday               15 019   2.22 031   2.41  057    2.22
2023-11-06 456 4566 Delaware - Play 4 Night                   46 022   2.57 030   2.33  052    2.02
2023-11-06 456 4566 Georgia - Cash 4 Evening                  62 022   2.57 030   2.33  052    2.02
2023-11-07 012 0112 Tri-State (ME, NH & VT) - Pick 4 Evening  NA 023   2.68 030   2.33  049    1.91
2023-11-07 016 0016 New Jersey - Pick 4 Midday                NA 025   2.92 031   2.41  055    2.14
2023-11-07 024 0224 Pennsylvania - Pick 4 Evening             NA 015   1.75 024   1.87  052    2.02
2023-11-07 029 0229 Rhode Island - Numbers Game Evening       NA 019   2.22 030   2.33  053    2.06
2023-11-07 059 0059 Delaware - Play 4 Day                     NA 019   2.22 031   2.41  047    1.83
2023-11-07 068 0068 Massachusetts - Numbers Game Midday       NA 023   2.68 037   2.88  057    2.22
2023-11-07 238 2238 New Mexico - Pick 4 Day                   29 019   2.22 030   2.33  047    1.83
2023-11-07 249 2499 Mississippi - Cash 4 Midday               04 021   2.45 033   2.57  060    2.33
2023-11-07 249 2499 Québec - Quotidienne 4                    11 021   2.45 033   2.57  060    2.33
2023-11-07 258 2588 Texas - Daily 4 Day                       07 020   2.33 032   2.49  052    2.02
2023-11-07 278 2788 Rhode Island - Numbers Game Midday        73 028   3.27 037   2.88  057    2.22
2023-11-07 379 3799 Idaho - Pick 4 Night                      64 019   2.22 031   2.41  053    2.06
2023-11-07 457 4557 North Carolina - Pick 4 Daytime           11 024   2.80 035   2.72  054    2.10
2023-11-07 689 6899 Kentucky - Pick 4 Evening                 19 024   2.80 034   2.64  055    2.14
2023-11-07 789 7889 Florida - Pick 4 Midday                   57 021   2.45 031   2.41  061    2.37
2023-11-07 789 7789 New York - Win 4 Midday                   08 021   2.45 031   2.41  061    2.37
2023-11-08 013 0013 Georgia - Cash 4 Night                    NA 019   2.22 026   2.02  050    1.94
2023-11-08 027 0227 Texas - Daily 4 Day                       NA 020   2.33 029   2.26  051    1.98
2023-11-08 029 0229 Washington, D.C. - DC-4 11:30pm           NA 019   2.22 030   2.33  053    2.06
2023-11-08 046 0466 Western Canada - Pick 4                   NA 018   2.10 023   1.79  048    1.87
2023-11-08 056 0056 Tri-State (ME, NH & VT) - Pick 4 Evening  NA 016   1.87 024   1.87  052    2.02
2023-11-08 167 1677 Washington, D.C. - DC-4 1:50pm            63 020   2.33 029   2.26  053    2.06
2023-11-08 239 2239 New Mexico - Pick 4 Day                   03 014   1.63 023   1.79  052    2.02
2023-11-08 378 3378 Delaware - Play 4 Night                   10 020   2.33 027   2.10  060    2.33
2023-11-08 378 3788 Mississippi - Cash 4 Evening              28 020   2.33 027   2.10  060    2.33
2023-11-08 567 5667 Texas - Daily 4 Morning                   65 019   2.22 028   2.18  043    1.67
2023-11-08 579 5799 Ohio - Pick 4 Evening                     44 018   2.10 026   2.02  039    1.52
