DOUBLES (AABC) — HIT LOG (DATE SORTED) — QUALIFIED FAMILIES ONLY
Each row is one AABC hit in a stream. Member is boxkey4 (sorted digits). fixed_rank is 1–78 family stream rank.
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday) | Qualified families: 56
--------------------------------------------------------------------------------------------------------------------------------------------
DATE       FAM MEM  STREAM                                   FIX 60H 60/WK  90H 90/WK  180H 180/WK 
2023-01-30 589 5899 Rhode Island - Numbers Game Evening       31 014   1.63 026   2.02  054    2.10
2023-01-30 679 6779 Florida - Pick 4 Midday                   14 017   1.98 031   2.41  046    1.79
2023-01-30 789 7889 West Virginia - Daily 4                   35 021   2.45 031   2.41  061    2.37
2023-01-31 016 0166 Virginia - Pick 4 Night                   NA 025   2.92 031   2.41  055    2.14
2023-01-31 018 0118 Idaho - Pick 4 Night                      NA 023   2.68 034   2.64  061    2.37
2023-01-31 018 0188 Tri-State (ME, NH & VT) - Pick 4 Evening  NA 023   2.68 034   2.64  061    2.37
2023-01-31 024 0244 Arkansas - Cash 4 Evening                 NA 015   1.75 024   1.87  052    2.02
2023-01-31 025 0025 Wisconsin - Pick 4 Evening                NA 019   2.22 025   1.94  049    1.91
2023-01-31 029 0229 Georgia - Cash 4 Midday                   NA 019   2.22 030   2.33  053    2.06
2023-01-31 046 0466 Michigan - Daily 4 Evening                NA 018   2.10 023   1.79  048    1.87
2023-01-31 059 0559 Delaware - Play 4 Day                     NA 019   2.22 031   2.41  047    1.83
2023-01-31 129 1299 Ontario - Pick 4 Evening                  39 025   2.92 029   2.26  045    1.75
2023-01-31 257 2257 Kentucky - Pick 4 Evening                 38 012   1.40 021   1.63  052    2.02
2023-01-31 359 3359 Florida - Pick 4 Midday                   52 027   3.15 036   2.80  059    2.29
2023-01-31 379 3799 New Mexico - Pick 4 Day                   24 019   2.22 031   2.41  053    2.06
2023-01-31 579 5579 Indiana - Daily 4 Midday                  69 018   2.10 026   2.02  039    1.52
2023-02-01 013 0133 New Jersey - Pick 4 Evening               NA 019   2.22 026   2.02  050    1.94
2023-02-01 028 0228 Connecticut - Play 4 Day                  NA 017   1.98 033   2.57  054    2.10
2023-02-01 029 0229 Virginia - Pick 4 Day                     NA 019   2.22 030   2.33  053    2.06
2023-02-01 046 0046 Oregon - Pick 4 4pm                       NA 018   2.10 023   1.79  048    1.87
2023-02-01 078 0788 Idaho - Pick 4 Day                        NA 018   2.10 024   1.87  038    1.48
2023-02-01 129 1229 Ohio - Pick 4 Midday                      17 025   2.92 029   2.26  045    1.75
2023-02-01 239 2339 Oregon - Pick 4 10pm                      76 014   1.63 023   1.79  052    2.02
2023-02-01 246 2466 New York - Win 4 Evening                  06 021   2.45 027   2.10  050    1.94
2023-02-01 246 2446 Tri-State (ME, NH & VT) - Pick 4 Day      21 021   2.45 027   2.10  050    1.94
2023-02-01 258 2258 Massachusetts - Numbers Game Evening      11 020   2.33 032   2.49  052    2.02
2023-02-01 278 2278 Florida - Pick 4 Evening                  32 028   3.27 037   2.88  057    2.22
2023-02-01 378 3788 Massachusetts - Numbers Game Midday       02 020   2.33 027   2.10  060    2.33
2023-02-01 389 3889 Texas - Daily 4 Evening                   54 019   2.22 031   2.41  057    2.22
2023-02-01 456 4556 Ohio - Pick 4 Evening                     30 022   2.57 030   2.33  052    2.02
2023-02-01 457 4557 New Jersey - Pick 4 Midday                16 024   2.80 035   2.72  054    2.10
2023-02-02 013 0013 Indiana - Daily 4 Evening                 NA 019   2.22 026   2.02  050    1.94
2023-02-02 016 0016 Ohio - Pick 4 Midday                      NA 025   2.92 031   2.41  055    2.14
2023-02-02 029 0229 New York - Win 4 Evening                  NA 019   2.22 030   2.33  053    2.06
2023-02-02 038 0338 Pennsylvania - Pick 4 Evening             NA 021   2.45 030   2.33  058    2.26
2023-02-02 068 0688 New Jersey - Pick 4 Evening               NA 023   2.68 037   2.88  057    2.22
2023-02-02 068 0688 Wisconsin - Pick 4 Midday                 NA 023   2.68 037   2.88  057    2.22
2023-02-02 179 1779 Oregon - Pick 4 1pm                       08 016   1.87 025   1.94  053    2.06
2023-02-02 246 2466 Puerto Rico - Pega 4 Día                  41 021   2.45 027   2.10  050    1.94
2023-02-02 246 2466 South Carolina - Pick 4 Evening           14 021   2.45 027   2.10  050    1.94
2023-02-02 389 3899 Rhode Island - Numbers Game Midday        19 019   2.22 031   2.41  057    2.22
2023-02-02 457 4557 Connecticut - Play 4 Day                  25 024   2.80 035   2.72  054    2.10
2023-02-02 679 6779 Iowa - Pick 4 Evening                     46 017   1.98 031   2.41  046    1.79
2023-02-02 789 7789 Atlantic Canada - Lotto 4                 32 021   2.45 031   2.41  061    2.37
