core_family,Member,repeat_digit,trait,value,trait_member_hits,trait_core_hits,baseline_member_rate,trait_member_rate,lift,lift_diff
12,0012,0,seed_prime_count,0,13,28,0.3210332103321033,0.4642857142857143,1.4462233169129721,0.143252503953611
12,0012,0,seed_sum_lastdigit,3,12,26,0.3210332103321033,0.46153846153846156,1.437665782493369,0.14050525120635826
12,2201,2,seed_sum_lastdigit,1,12,26,0.3247232472324723,0.46153846153846156,1.4213286713286715,0.13681521430598925
12,1102,1,seed_sum_lastdigit,7,15,30,0.35424354243542433,0.5,1.4114583333333335,0.14575645756457567
12,0012,0,seed_vtrac_unique,4,22,49,0.3210332103321033,0.4489795918367347,1.3985456251466104,0.1279463815046314
12,1102,1,seed_sum_lastdigit,8,14,30,0.35424354243542433,0.4666666666666667,1.3173611111111112,0.11242312423124234
12,2201,2,seed_sum_lastdigit,2,13,31,0.3247232472324723,0.41935483870967744,1.2914222873900294,0.09463159147720512
12,0012,0,seed_high_count,3,29,70,0.3210332103321033,0.4142857142857143,1.2904761904761906,0.09325250395361101
12,2201,2,seed_vtrac_unique,2,22,53,0.3247232472324723,0.41509433962264153,1.278301886792453,0.09037109239016922
12,1102,1,seed_sum_lastdigit,6,13,29,0.35424354243542433,0.4482758620689655,1.2654454022988506,0.0940323196335412
12,1102,1,seed_prime_count,1,38,87,0.35424354243542433,0.4367816091954023,1.2329980842911878,0.08253806675997799
12,1102,1,seed_consecutive_pairs,2,25,58,0.35424354243542433,0.43103448275862066,1.2167744252873562,0.07679094032319633
12,2201,2,seed_prime_count,0,11,28,0.3247232472324723,0.39285714285714285,1.2098214285714286,0.06813389562467054
12,2201,2,seed_prime_count,3,18,46,0.3247232472324723,0.391304347826087,1.2050395256916997,0.06658110059361466
12,2201,2,seed_spread_band,0-3,14,36,0.3247232472324723,0.3888888888888889,1.1976010101010102,0.06416564165641658
12,0012,0,seed_sum_lastdigit,5,13,34,0.3210332103321033,0.38235294117647056,1.1910074374577417,0.06131973084436726
12,2201,2,seed_sum_lastdigit,3,10,26,0.3247232472324723,0.38461538461538464,1.1844405594405596,0.059892137382912325
12,0012,0,seed_sum_band,18-26,47,126,0.3210332103321033,0.373015873015873,1.161923006750593,0.05198266268376972
12,0012,0,seed_trail_band,4-6,32,86,0.3210332103321033,0.37209302325581395,1.1590483827853515,0.051059812923710646
12,0012,0,seed_even_count,3,26,70,0.3210332103321033,0.37142857142857144,1.1569786535303779,0.05039536109646814
12,2201,2,seed_trail_band,0-3,41,110,0.3247232472324723,0.37272727272727274,1.1478305785123968,0.04800402549480043
12,2201,2,seed_sum_mod3,0,36,97,0.3247232472324723,0.3711340206185567,1.1429240862230554,0.0464107733860844
12,0012,0,seed_mirror_pairs_any,no,51,139,0.3210332103321033,0.3669064748201439,1.1428925824857357,0.04587326448804058
12,2201,2,seed_structure,AABC,40,109,0.3247232472324723,0.3669724770642202,1.1301084236864054,0.04224922983174789
